title,label,filtered_title,emo_label
FBI checking if Orlando shooter's wife knew attack plan but didn't warn police,REAL,FBI checking Orlando shooter 's wife knew attack plan n't warn police,fear
Is google and YouTube in the Hillary's purse?,FAKE,google YouTube Hillary 's purse ?,neutral
Handicapping the Hispanic vote for 2016 GOPers,REAL,Handicapping Hispanic vote 2016 GOPers,neutral
Truth Will Out Radio: The Laconia Incident,FAKE,Truth Radio : Laconia Incident,fear
GOP establishment nightmare? Ted Cruz vs. Donald Trump,REAL,GOP establishment nightmare ? Ted Cruz vs. Donald Trump,fear
Bernie Sanders lost poor voters in South Carolina by a big margin — a problem for his political revolution,REAL,Bernie Sanders lost poor voters South Carolina big margin — problem political revolution,sadness
Should I Get Botox?,FAKE,Get Botox ?,neutral
Jeb Bush Picks Up Endorsement From Lindsey Graham,REAL,Jeb Bush Picks Endorsement Lindsey Graham,neutral
"2016 Republican race enters a new, volatile phase",REAL,"2016 Republican race enters new , volatile phase",fear
"‘Hands up, don’t shoot’ was built on a lie",REAL,"‘ Hands , ’ shoot ’ built lie",neutral
Lavrov and Kerry discuss Syrian settlement,FAKE,Lavrov Kerry discuss Syrian settlement,neutral
BREAKING : DOJ Says They Will “HELP” Review the 650K Emails – TruthFeed,FAKE,BREAKING : DOJ Says “ HELP ” Review 650K Emails – TruthFeed,neutral
Bernie Sanders' call for ouster of two convention co-chairs rejected,REAL,Bernie Sanders ' call ouster two convention co-chairs rejected,sadness
Five Reasons the New York Democratic Primary Felt Competitive,REAL,Five Reasons New York Democratic Primary Felt Competitive,neutral
"To get around Congress, Obama turns to city halls",REAL,"get around Congress , Obama turns city halls",neutral
Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election,FAKE,Celebrity Deathmatch : Darkmoon Sages Make Final Predictions US Election,neutral
John Kerry: ISIS responsible for genocide,REAL,John Kerry : ISIS responsible genocide,disgust
Mitt Romney's Re-Invention As Anti-Poverty Warrior,REAL,Mitt Romney 's Re-Invention Anti-Poverty Warrior,neutral
King: Fill the Supreme Court vacancy,REAL,King : Fill Supreme Court vacancy,neutral
"Ted Cruz is toast: It’s not just that he won’t be president — his days in the Senate are numbered, too",REAL,"Ted Cruz toast : ’ ’ president — days Senate numbered ,",neutral
Obama’s speech in Selma was an answer to those who question his love for America,REAL,Obama ’ speech Selma answer question love America,joy
Where Does Bernie Sanders Go From Here?,REAL,Bernie Sanders Go ?,neutral
Exclusive: GOP campaigns plot revolt against RNC,REAL,Exclusive : GOP campaigns plot revolt RNC,anger
Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book,FAKE,Revelation Unleashed : Unlocking Mysteries Bible ’ Mysterious Book,neutral
Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],FAKE,Silent Counter-Coup 17 Intel Agencies Stop Crooked Clintons [ Video ],anger
"Why Hillary Clinton, not Bernie Sanders, 'won' town hall",REAL,"Hillary Clinton , Bernie Sanders , 'won ' town hall",neutral
French police hunt two brothers accused of Charlie Hebdo terror attack,REAL,French police hunt two brothers accused Charlie Hebdo terror attack,fear
"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",FAKE,"Mandela Effect made one overlooked 33 year old man , ascended master ( video proof )",neutral
CNN: One voter can make a difference by voting repeatedly,FAKE,CNN : One voter make difference voting repeatedly,neutral
Give Social Security recipients a CEO-style raise,REAL,Give Social Security recipients CEO-style raise,neutral
"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",REAL,"Fireworks erupt Trump Bush , Rubio Cruz GOP debate",anger
"Obama, sounding like his critics, admits no 'complete strategy' for Iraq",REAL,"Obama , sounding like critics , admits 'complete strategy ' Iraq",sadness
How Ted Cruz Became Ted Cruz,REAL,Ted Cruz Became Ted Cruz,neutral
Newly Approved GM Potatoes Have Potential to Silence Human Genes,FAKE,Newly Approved GM Potatoes Potential Silence Human Genes,neutral
Accord reached after Sanders sues the DNC over suspended access to critical voter list,REAL,Accord reached Sanders sues DNC suspended access critical voter list,anger
Why the latest Patriot Act reform won’t be enough to rein in the NSA,REAL,latest Patriot Act reform ’ enough rein NSA,neutral
"FBI expands probe of Clinton emails, launches independent classification review",REAL,"FBI expands probe Clinton emails , launches independent classification review",fear
Where is Gary Johnson?,REAL,Gary Johnson ?,neutral
"The Arcturian Group by Marilyn Raffaele October 23, 2016 [VIDEO]",FAKE,"Arcturian Group Marilyn Raffaele October 23 , 2016 [ VIDEO ]",neutral
Nuclear weapons question,FAKE,Nuclear weapons question,neutral
Kevin MacDonald celebrates Trump’s Amazing Victory,FAKE,Kevin MacDonald celebrates Trump ’ Amazing Victory,joy
"The amazing AquTru water filter, version 2.0, is now in stock: I've snagged 500 units for Natural News readers at a deep discount",FAKE,"amazing AquTru water filter , version 2.0 , stock : 've snagged 500 units Natural News readers deep discount",joy
What happens if Clinton drops out?,REAL,happens Clinton drops ?,surprise
Brothers ID'd as suicide bombers in Belgium,REAL,Brothers ID 'd suicide bombers Belgium,neutral
Glorifying Violence,FAKE,Glorifying Violence,joy
Russia may run out of patience and respond to USA's rudeness,FAKE,Russia may run patience respond USA 's rudeness,anger
The David Duke Show: Hillary’s Treason and Why Trump & Duke Will Win,FAKE,David Duke Show : Hillary ’ Treason Trump & Duke Win,fear
Don't blame all immigrants for San Francisco shooting,REAL,n't blame immigrants San Francisco shooting,sadness
Netanyahu: I Won't Allow Israel to Be 'Submerged' by Refugees,REAL,Netanyahu : Wo n't Allow Israel 'Submerged ' Refugees,sadness
APOCALYPSE NOW: Trump Voters Warn Of ‘Revolution’ If Clinton Wins,FAKE,APOCALYPSE : Trump Voters Warn ‘ Revolution ’ Clinton Wins,fear
"Geo-Engineering Unlikely to Work, Conservation Group Says",FAKE,"Geo-Engineering Unlikely Work , Conservation Group Says",neutral
3 Questions Ahead Of Tonight's Democratic Debate,REAL,3 Questions Ahead Tonight 's Democratic Debate,neutral
Obama's terror strategy is failing: US must heed lessons of 9/11,REAL,Obama 's terror strategy failing : US must heed lessons 9/11,fear
“Bernie needs to be ground to a pulp.” Leaked Email to John Podesta in February,FAKE,“ Bernie needs ground pulp. ” Leaked Email John Podesta February,neutral
Selma 50 years on: John Lewis's recalls the march,REAL,Selma 50 years : John Lewis 's recalls march,neutral
“We Were Long Overdue A Presidential Assassination Anyway”,FAKE,“ Long Overdue Presidential Assassination Anyway ”,neutral
"Flip-flop: Vox warns of serious risk of Election Day violence, and not the good kind either",FAKE,"Flip-flop : Vox warns serious risk Election Day violence , good kind either",fear
Third-party presidential candidates fight for 15% in polls – and a spot in debates,REAL,Third-party presidential candidates fight 15 % polls – spot debates,neutral
"Bush, Rubio and Kasich eye one another in the shadow of Trump",REAL,"Bush , Rubio Kasich eye one another shadow Trump",fear
Comey Must Explain Why He Advised Obama Not to Publicly Accuse Russia of Hacking Democrats,FAKE,Comey Must Explain Advised Obama Publicly Accuse Russia Hacking Democrats,fear
"Putin Congratulates Trump, Says Russia Is Ready To Restore Relations With The US",FAKE,"Putin Congratulates Trump , Says Russia Ready Restore Relations US",neutral
Monsieur Malbrough est Mort | New Eastern Outlook,FAKE,Monsieur Malbrough est Mort | New Eastern Outlook,neutral
Conspiracy theories swirl around the death of Antonin Scalia,REAL,Conspiracy theories swirl around death Antonin Scalia,fear
"What is one more election thread, ehhh?",FAKE,"one election thread , ehhh ?",surprise
McCain: Trump doesn't understand Syria,REAL,McCain : Trump n't understand Syria,sadness
Trump manager says 'undercover voters' will deliver win in US election,REAL,Trump manager says 'undercover voters ' deliver win US election,neutral
Re: WikiLeaks: ‘How is what Bill Clinton did different from what Bill Cosby did?’ #PodestaEmails20,FAKE,: WikiLeaks : ‘ Bill Clinton different Bill Cosby ? ’ # PodestaEmails20,fear
"REPORT: Megyn Trashes Trump, Newt… Then Murdoch Announces Replacements Are Available",FAKE,"REPORT : Megyn Trashes Trump , Newt… Murdoch Announces Replacements Available",sadness
Suspect captured in ‘ambush-style’ killings of two Iowa cops,FAKE,Suspect captured ‘ ambush-style ’ killings two Iowa cops,fear
Re: 10 Things That Every American Should Know About Donald Trump’s Plan To Save The U.S. Economy,FAKE,: 10 Things Every American Know Donald Trump ’ Plan Save U.S. Economy,fear
The next president can have a big impact on climate policy — even without Congress,REAL,next president big impact climate policy — even without Congress,neutral
Look at the SHOCKING Number of Kids Born To Illegals in 2014,FAKE,Look SHOCKING Number Kids Born Illegals 2014,surprise
Mother And Daughter Remind MSNBC Reporter That Trump Has Black Supporters,FAKE,Mother Daughter Remind MSNBC Reporter Trump Black Supporters,neutral
Justice Department Staffers Monitor Polls on Election Day,REAL,Justice Department Staffers Monitor Polls Election Day,neutral
Elizabeth Warren Just Blasted The FBI Director For Going After Hillary Instead Of Wall Street Crooks,FAKE,Elizabeth Warren Blasted FBI Director Going Hillary Instead Wall Street Crooks,anger
Poll: 71 percent of Dems think Clinton should keep running even if indicted,REAL,Poll : 71 percent Dems think Clinton keep running even indicted,neutral
Trumped!,FAKE,Trumped !,anger
Is the Iran deal unraveling? Think again. | Institution,REAL,Iran deal unraveling ? Think . | Institution,neutral
Saturn’s Baffling Hexagon — The Raging Storm Four Times the Size of Earth has Changed Its Colors,FAKE,Saturn ’ Baffling Hexagon — Raging Storm Four Times Size Earth Changed Colors,anger
"Cyrus Mistry renames himself Rohit Sharma-Mistry, gets job back",FAKE,"Cyrus Mistry renames Rohit Sharma-Mistry , gets job back",joy
The FBI intervenes in the 2016 election,FAKE,FBI intervenes 2016 election,neutral
"Re: If Donald Trump Wins, He Will Be 70 Years, 7 Months And 7 Days Old On His First Full Day In Office",FAKE,": Donald Trump Wins , 70 Years , 7 Months 7 Days Old First Full Day Office",joy
Shutdown clash to return in force by December,REAL,Shutdown clash return force December,neutral
Classless Obama Refuses Photo-Op of White House Welcome with Trump,FAKE,Classless Obama Refuses Photo-Op White House Welcome Trump,neutral
Comment on Maryland Trump Supporter: They Switched My Vote to Hillary by misterdawg,FAKE,Comment Maryland Trump Supporter : Switched Vote Hillary misterdawg,surprise
Stuff in the News That No One Is Talking About Because of the Election,FAKE,Stuff News One Talking Election,neutral
Blizzard of charges and countercharges melts away as opinions of Trump and Clinton are frozen,REAL,Blizzard charges countercharges melts away opinions Trump Clinton frozen,anger
Social Media Is Censoring FBI’s Re-Opened Clinton Email Investigation,FAKE,Social Media Censoring FBI ’ Re-Opened Clinton Email Investigation,disgust
Obama Inches Closer to Veto-Proof Support for Iran Nuclear Deal,REAL,Obama Inches Closer Veto-Proof Support Iran Nuclear Deal,neutral
How Clinton plans to stop Sanders' momentum,REAL,Clinton plans stop Sanders ' momentum,anger
Martin O’Malley Praises Senate Democrats for Holding Up Trade Deal,REAL,Martin ’ Malley Praises Senate Democrats Holding Trade Deal,joy
Shi’ite Militias Join Iraq’s Mosul Attack,FAKE,Shi ’ ite Militias Join Iraq ’ Mosul Attack,fear
‘Super PAC’ Gets Early Start on Pushing for a 2016 Clinton Campaign,REAL,‘ Super PAC ’ Gets Early Start Pushing 2016 Clinton Campaign,neutral
Christianity under attack: US must do more to promote religious freedom,REAL,Christianity attack : US must promote religious freedom,anger
U.S. Taxpayers Pay AT&T Millions of Dollars a Year For the Privilege of Spying on Them,FAKE,U.S. Taxpayers Pay & Millions Dollars Year Privilege Spying,neutral
VIDEO: Journalist Shot by Militarized Police at Standing Rock While Conducting an Interview,FAKE,VIDEO : Journalist Shot Militarized Police Standing Rock Conducting Interview,fear
"Buffett: If I Ran Fed, I Would Not Raise Rates Significantly",REAL,"Buffett : Ran Fed , Would Raise Rates Significantly",neutral
Are Tensions With Russia Even Real?,FAKE,Tensions Russia Even Real ?,anger
Iran agrees to nuclear restrictions in framework deal with world powers,REAL,Iran agrees nuclear restrictions framework deal world powers,neutral
Comment on This Is What Constipation Does To Your Body by THIS IS WHAT CONSTIPATION DOES TO YOUR BODY | TheHealthology,FAKE,Comment Constipation Body CONSTIPATION BODY | TheHealthology,neutral
Fifteen Quotes Proving False Flag Terrorism & the Existence of a ‘Shadow Government’,FAKE,Fifteen Quotes Proving False Flag Terrorism & Existence ‘ Shadow Government ’,fear
"Bernie Sanders’s vast universe of donors, mapped",REAL,"Bernie Sanders ’ vast universe donors , mapped",neutral
"Former Ambassador Andrew Young calls for end to water fluoridation, “Civil Rights Issue”",FAKE,"Former Ambassador Andrew Young calls end water fluoridation , “ Civil Rights Issue ”",neutral
Trump's New Ad Portraying 'Every Mother's Worst Nightmare' is Nothing Short of Chilling,FAKE,Trump 's New Ad Portraying 'Every Mother 's Worst Nightmare ' Nothing Short Chilling,fear
Undercover Video Exposes Obama’s Plan to Make American “Gun Laws” More Like Britain – TruthFeed,FAKE,Undercover Video Exposes Obama ’ Plan Make American “ Gun Laws ” Like Britain – TruthFeed,disgust
So That Happened: Did Obama Forget That The GOP Runs Congress?,REAL,Happened : Obama Forget GOP Runs Congress ?,surprise
"Syrian War Report – November 2, 2016: ISIS and Al-Nusra Attempt to Cut Off Govt Supply Line to Aleppo",FAKE,"Syrian War Report – November 2 , 2016 : ISIS Al-Nusra Attempt Cut Govt Supply Line Aleppo",fear
Should Christians Celebrate Halloween?,FAKE,Christians Celebrate Halloween ?,joy
Sunday in Charleston: Worship at Emanuel AME,REAL,Sunday Charleston : Worship Emanuel AME,joy
Only Making Matters Worse in Syria,FAKE,Making Matters Worse Syria,disgust
"FACT CHECK: Hillary Clinton's Speech To The Democratic Convention, Annotated",REAL,"FACT CHECK : Hillary Clinton 's Speech Democratic Convention , Annotated",neutral
BUSTED: Clinton Foundation Directly Tied To Plot To Steal Election,FAKE,BUSTED : Clinton Foundation Directly Tied Plot Steal Election,anger
Connecticut Becomes First State To Boycott Indiana Over LGBT Discrimination Law,REAL,Connecticut Becomes First State Boycott Indiana LGBT Discrimination Law,anger
Scott Walker Confronts Doubts About His Grasp of Foreign Policy,REAL,Scott Walker Confronts Doubts Grasp Foreign Policy,anger
Iran carries out new ballistic missile test,REAL,Iran carries new ballistic missile test,fear
Assange: Donald Trump Won’t Be Allowed to Win – Clinton & ISIS Funded by Same Interests,FAKE,Assange : Donald Trump ’ Allowed Win – Clinton & ISIS Funded Interests,neutral
Why Joe Biden can't get no respect,REAL,Joe Biden ca n't get respect,sadness
"Come on, Paul Ryan must be running in 2016, right? Right?",REAL,"Come , Paul Ryan must running 2016 , right ? Right ?",neutral
Why Bernie Sanders needs to start winning big states — big,REAL,Bernie Sanders needs start winning big states — big,neutral
Leaked: What’s in Obama’s trade deal,REAL,Leaked : ’ Obama ’ trade deal,neutral
"Michael Moore admits no women ever melted the ice caps, bombs American history",FAKE,"Michael Moore admits women ever melted ice caps , bombs American history",anger
Someone Isn't Telling The Truth About Freddie Gray's Death,REAL,Someone n't Telling Truth Freddie Gray 's Death,sadness
Prison employee pleaded not guilty to aiding escape of two murderers,REAL,Prison employee pleaded guilty aiding escape two murderers,sadness
Culchie Tries To Explain Rules Of 25 One More Time,FAKE,Culchie Tries Explain Rules 25 One Time,neutral
Election Day: No Legal Pot In Ohio; Democrats Lose In The South,REAL,Election Day : Legal Pot Ohio ; Democrats Lose South,sadness
President Trump: A colossal failure for democracy and our terrifying new reality,REAL,President Trump : colossal failure democracy terrifying new reality,fear
Who had to go :-),FAKE,go : - ),neutral
Raqqa/Mosul: Politicians Fiddle As Middle East Burns,FAKE,Raqqa/Mosul : Politicians Fiddle Middle East Burns,neutral
Chris Christie losing home-state donors as Jeb Bush makes inroads,REAL,Chris Christie losing home-state donors Jeb Bush makes inroads,neutral
Washington Home Depot store receives order for five-thousand gallons of gold exterior paint,FAKE,Washington Home Depot store receives order five-thousand gallons gold exterior paint,neutral
Western Lynch Mob on Russia Ties Itself up in Absurd Anots      : Information,FAKE,Western Lynch Mob Russia Ties Absurd Anots : Information,disgust
Can Sanders rally supporters around Clinton after DNC email leak?,REAL,Sanders rally supporters around Clinton DNC email leak ?,fear
'Historic' climate deal in sight as nations parse final text,REAL,'Historic ' climate deal sight nations parse final text,neutral
We Live In A Time Where Each Individual Has Immense Power,FAKE,Live Time Individual Immense Power,neutral
"Trump slams 'corrupt' media, as more women make sexual assault claims",REAL,"Trump slams 'corrupt ' media , women make sexual assault claims",anger
Only Demented Imbeciles Want A Killary Reign Of Terror,FAKE,Demented Imbeciles Want Killary Reign Terror,fear
This anti-Trump advert on the side of a bus is really visually clever and you have to see it in motion,FAKE,anti-Trump advert side bus really visually clever see motion,joy
Americans Are So Disconnected From Reality That “Insouciant” Has Become An Euphemism,FAKE,Americans Disconnected Reality “ Insouciant ” Become Euphemism,neutral
The 5 unspoken rules for covering Hillary Clinton,REAL,5 unspoken rules covering Hillary Clinton,neutral
"Hillary Melts Down Over Weiner In Public, PICS Prove Campaign Is Imploding",FAKE,"Hillary Melts Weiner Public , PICS Prove Campaign Imploding",neutral
Clinton Vs. Trump: Latest Electoral Prediction [Greg Laden's Blog] | Science and Technology,FAKE,Clinton Vs. Trump : Latest Electoral Prediction [ Greg Laden 's Blog ] | Science Technology,neutral
Jubilee Year of Mercy ends on November 20. Following Judgment?,FAKE,Jubilee Year Mercy ends November 20 . Following Judgment ?,neutral
Iraq launches operation against ISIS in Anbar province,REAL,Iraq launches operation ISIS Anbar province,fear
UKIP MEPs Steven Woolfe & Mike Hookem reported to French police over Strasbourg scuffle,FAKE,UKIP MEPs Steven Woolfe & Mike Hookem reported French police Strasbourg scuffle,fear
Justices Kennedy and Scalia and their divide on gay rights,REAL,Justices Kennedy Scalia divide gay rights,neutral
Justice Clarence Thomas Describes Washington DC As “Broken”,FAKE,Justice Clarence Thomas Describes Washington DC “ Broken ”,neutral
"The Week In Pictures – Week Of October 31, 2016 - The Onion - America's Finest News Source",FAKE,"Week Pictures – Week October 31 , 2016 - Onion - America 's Finest News Source",joy
Jeb Bush's Foreign Policy Plan: More Military Spending Will 'Encourage Peace',REAL,Jeb Bush 's Foreign Policy Plan : Military Spending 'Encourage Peace ',neutral
"John Kasich: He’s Conservative, but at Least He’s Sane",REAL,"John Kasich : ’ Conservative , Least ’ Sane",sadness
2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election,REAL,2006 Audio Emerges Hillary Clinton Proposing Rigging Palestine Election,disgust
Authorities search for clues after raid thwarts potential 'Belgian Charlie Hebdo' attack,REAL,Authorities search clues raid thwarts potential 'Belgian Charlie Hebdo ' attack,fear
8 classic football banners of our time,FAKE,8 classic football banners time,neutral
Tweetwave,FAKE,Tweetwave,neutral
Trump’s Gettysburg Address against the New World Order,FAKE,Trump ’ Gettysburg Address New World Order,fear
Debate Goals for the Democratic Candidates,REAL,Debate Goals Democratic Candidates,neutral
'Spinning up as we speak': Email shows Pentagon was ready to roll as Benghazi attack occurred,REAL,'Spinning speak ' : Email shows Pentagon ready roll Benghazi attack occurred,surprise
A Case Study On Why The Obamacare Lawsuit Is Based On Mythical History,REAL,Case Study Obamacare Lawsuit Based Mythical History,neutral
Trump Proudly Declares: Most Of The People I’ve Insulted Deserved It,FAKE,Trump Proudly Declares : People ’ Insulted Deserved,anger
Dems sue GOP over Trump's 'rigged' complaints,FAKE,Dems sue GOP Trump 's 'rigged ' complaints,anger
